API Name,Method,Endpoint,Description,Auth Required?,Role Required?,Request Body,Response (Success),Success Code,Error Code
Request Email Verification,POST,/api/v1/auth/request-email-verification,Send an OTP to verify the email address,No,None,"{ ""email"": ""user@example.com"" }","{ ""status"": ""success"", ""message"": ""Verification email sent."" }",200,"400, 409, 500"
Verify Email,POST,/api/v1/auth/verify-email,Verify the email using the OTP code,No,None,"{ ""email"": ""user@example.com"", ""verificationCode"": ""123456"" }","{ ""status"": ""success"", ""message"": ""Email verified successfully."" }",200,"400, 401"
Signup,POST,/api/v1/auth/signup,Register a new user,No,None,"{ ""email"": ""user@example.com"", ""name"": ""John Doe"", ""password"": ""Password123"" }","{ ""status"": ""success"", ""message"": ""Signup successful."" }",201,"400, 409"
Login,POST,/api/v1/auth/login,Log in an existing user,No,None,"{ ""email"": ""user@example.com"", ""password"": ""Password123"" }","{ ""status"": ""success"", ""accessToken"": ""jwt_token"", ""userId"": ""id"" }",200,"401, 403"
Refresh Token,POST,/api/v1/auth/refresh,Refresh the access token,No,None,"{ ""refreshToken"": ""refresh_token"" }","{ ""status"": ""success"", ""accessToken"": ""new_jwt_token"" }",200,"400, 403"
Logout,POST,/api/v1/auth/logout,Log out the user and invalidate refresh token,Yes,None,"{ ""refreshToken"": ""refresh_token"" }","{ ""status"": ""success"", ""message"": ""Logout successful."" }",200,"401, 500"
Forgot Password,POST,/api/v1/auth/forgot-password,Initiate password reset process,No,None,"{ ""email"": ""user@example.com"" }","{ ""status"": ""success"", ""message"": ""Password reset instructions sent."" }",200,"404, 500"
Verify OTP,POST,/api/v1/auth/verify-otp,Verify OTP code for password reset,No,None,"{ ""email"": ""user@example.com"", ""otp"": ""123456"", ""purpose"": ""password_reset"" }","{ ""status"": ""success"", ""message"": ""OTP verified successfully."" }",200,"400, 401"
Reset Password,POST,/api/v1/auth/reset-password,Reset password using OTP,No,None,"{ ""email"": ""user@example.com"", ""newPassword"": ""NewPassword@123"", ""otp"": ""123456"" }","{ ""status"": ""success"", ""message"": ""Password reset successfully."" }",200,"400, 401"
Check Email Verification,GET,/api/v1/auth/check-email-verification,Check if email is verified,No,None,"email as query param","{ ""email"": ""user@example.com"", ""isEmailVerified"": true }",200,"404, 500"
Update User Profile,PUT,/api/v1/users/profile,Update profile image or name,Yes,None,"Multipart FormData: profileImage (file), name (string)","{ ""status"": ""success"", ""message"": ""Profile updated successfully."" }",200,"400, 401"
Get User Details,GET,/api/v1/users/me,Retrieve the logged-in user's details,Yes,None,None,"{ ""status"": ""success"", ""user"": {""name"": ""John Doe"", ""email"": ""user@example.com"", ""profileImage"": ""s3_url""} }",200,"401, 404"
Delete User,DELETE,/api/v1/users/:id,Delete a user by ID,Yes,None,None,"{ ""status"": ""success"", ""message"": ""User deleted successfully."" }",200,"401, 404"
Get All Users,GET,/api/v1/users,Retrieve a list of all users,Yes,Admin,None,"{ ""status"": ""success"", ""users"": [{""name"": ""John"", ""email"": ""user@example.com""}] }",200,"403, 401"
API Name,Method,Endpoint,Description,Auth Required?,Request Body,Response (Success),Success Code,Error Code
Submit Onboarding,POST,/api/v1/users/me/onboarding,Stores user onboarding preferences,Yes,"{ ""userType"": ""Student"", ""primaryGoals"": [""Prepare for exams""], ""preferredFormats"": [""Videos""], ""studyHoursPerWeek"": 5, ""enableReminders"": true }","{ ""status"": ""success"", ""message"": ""Onboarding completed successfully."" }",201,"400,409,500"
Get Onboarding,GET,/api/v1/users/me/onboarding,Retrieves user onboarding data,Yes,None,"{ ""status"": ""success"", ""onboarding"": {...} }",200,"401,404,500"
Update Onboarding,PUT,/api/v1/users/me/onboarding,Updates user onboarding preferences,Yes,"{ ""studyHoursPerWeek"": 10 }","{ ""status"": ""success"", ""message"": ""Onboarding updated successfully."" }",200,"400,404,500"

